自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
我有一辆拖拉机 (这个模组让你购买拖拉机（和拖拉机车库），)
更多的鱼类 (钓鱼佬有福了，添加了一百多种全新的鱼类到)
克林特卖更多材料 (使用之后克林特将出售铜、铁、金和铱棒等物)
可爱动物 (使用之后就可以为游戏中的牛和猪添加了一个)
稚子岁月长汉化版 (如今，你的孩子已然长大。身为家长，你可借)
白色短毛猫替换初始猫 (使用可爱的银渐层和橘猫皮肤外观替换初始猫)
SVE季节性服装 (为sve地图扩展的角色们添加了几套季节性)
允许玩家随时进入NPC家 (允许玩家在关系足够高的时候提前/晚些时候)
自动工具交换汉化版 (自动工具交换汉化版mod旨在通过在你与世)
巨型作物拓展汉化版 (这个模组为21种原版作物添加了巨型版本，)
更大的冰箱空间 (你是不是认为冰箱太小了，看着那些大箱子，)
更好的工作台 (使用之后就能让工作台可以查看所有直接连接)
季节性服装 (将原版游戏的所有npc服装都进行了调整，)
允许拾取装有物品箱子汉化版 (允许你在箱子里面有东西的时候捡起箱子并重)
小马减肥计划 (使用之后就可以让您的马体积变小，现在可以)
自动抚摸提升好感度 (使用之后就能自动抚摸农场里所有动物，并会)
浪漫山谷汉化版 (这个模组为原版星露谷物语游戏添加了一些新)
草原战神 (极大降低了草原大王小游戏的难度，非常适合)
快速动画汉化版 (你是否觉得游戏中某些动作过于慢了，那么这)
幽咪的可爱公主裙 (幽咪的可爱公主裙，包含：5件头饰，5件上)
NPC回礼概率增加汉化版 (这个模组为星露谷的村民增加了在收到礼物时)
百分百钓鱼 (允许玩家在钓鱼迷你游戏期间始终让钓鱼棒占)
阿比盖尔 (该模组为阿尔盖比重新制作了样貌模型。好玩)
时间在午夜冻结 (你是否希望能在晚上之前完成农活，而不用担)
缩放级别 (该模组将缩放级别和UI级别调整到超过游戏)
矿石镇汉化版 (一个全新的模组，在公交站右边添加了一个新)
自选附魔汉化版 (拾取物品/战斗/天赋，天赋的强度以及所有)
季节性地板 (对可制作的地板外观进行了重制，且新的地板)
巨大温室 (一个可以种植和展示所有原始作物的温室。—)
自动收纳 (这个模组旨在通过自动将物品存入已包含最多)
快速地图传送 (这个mod允许你在点击地图上的一个点后传)
NPC友谊倍增器 (此模组允许您在赠送给 NPC 时配置友谊)
CJB物品生成器 (一个易于使用的游戏内物品生成菜单。按 i)
罗宾售卖树液产品 (使用罗宾售卖树液产品mod之后，木匠罗宾)
矿石增加 (这个模组允许你配置在矿井、困难模式矿井、)
旅行技能树 (添加了一条旅行技能树到游戏中，只要到处跑)
鱼塘美化 (为鱼塘进行了一次精装修，装修以后的鱼塘更)
一键清洁 (使用一键清洁mod之后就能轻松清理星露谷)
日系卡通头像 (使用之后就能为npc重新绘制了一套日系的)
作物收获气泡汉化版 (为成熟的作物顶上添加气泡，这样就能方便显)
我有一座大温室 (扩展温室，使其适合多人游戏。这包括 16)
幽咪的可爱工具纹理 (使用之后就能用非常漂亮的蓝色可爱工具纹理)
树木快速生长汉化版 (这个模组可以让树木在有足够的空间的情况下)
新增24个心动事件汉化版 (使用之后就能好为村民添加新的好感度事件，)
轻松移动物体汉化版 (让你轻松移动树木、作物等，并且可以复制和)
通宵 (让你可以整夜保持清醒，直到天亮，而不是在)
轻松打怪汉化版 (《星露谷物语》轻松打怪mod介绍：执长剑)
可爱粉白色女生发型 (FS模式的8个可爱女生粉白色发型，你可以)
多次收获作物 (植物可以多次收获，而且还能提供种子。我一)
农场温泉 (在农场里添加了一个迷你温泉可供使用，工作)
更大容量的筒仓 (使用之后就能在筒仓中添加更多存储空间，将)
光标提示礼物相关 (通过在光标旁边添加一个上下文相关图标来指)
未来式洒水器和稻草人 (添加了一个洒水器和稻草人到游戏中，可在制)
传奇鱼塘 (你有没有想过从你的传奇渔获中得到更多，而)
配偶对你“死亡”的反应 (.还在为自己“死亡”后无人问候而沮丧吗？)
更精确的时间汉化版 (更精确的时间mod允许自定义HUD上的数)
爷爷的农场 (将标准农场替换成爷爷的农场，比原来的农场)
更加自由的钓鱼游戏 (钓鱼有困难？或者发现它太容易了？这是另一)
更好的熔炉 (添加一个新熔炉，可让您一次熔化 5 个矿)
现代工业风格家具套装 (对农舍家具和内饰的风格进行了更改，采取了)
玛妮的自动抚摸机 (在修复社区中心以后，玛妮会在特别订单栏处)
随处可用的宝箱 (安装该模组后从任何地方访问您的箱子，冰箱)
生日快乐汉化版 (一个将玩家生日添加到星露谷物语的模组。这)
NPC人物美化 (改变所有NPC小人模型，使其看起来更像游)
永不腐烂的围栏 (不再害怕了，你的围栏不会再腐烂了！移除围)
幽咪的可爱连衣裙3 (在游戏中添加了一些非常可爱好看的女性连衣)
开锁工具 (开锁器可以让你在非营业时间打开npc的门)
祝尼魔小屋优化 (现在的祝尼魔比以前更全能。将种子、肥料放)
把罗宾娶回家 (将罗宾变为可结婚的npc。玛鲁和德米特里)
动漫季节性服装 (“季节性服装”的子模组，采用Ohodav)
幽咪的可爱场景化妆品 (包含：27件脸部配饰。美瞳+腮红+脸部装)
拥抱和亲吻 (让玩家亲吻男女朋友拥抱朋友，NPC配偶互)
添加 100k 金 (按G在钱包上添加100.00金币，注意！)
优质产品 (工匠物品的星级现在和投入的原料有关，例如)
武器外观调整 (对武器的外观进行了重制，sve兼容注意事)
金钱模组 (此 mod 允许游戏存储超过 20 亿（)
商店物品扩展 (商店物品扩展是星露谷的一个mod，增加了)
自动门 (当你骑马或者步行走到栅栏门前时会自动开启)
改善配偶日程安排汉化版 (这个模组旨在通过将他们的原始日程安排与结)
轻松收获汉化版 (轻松收获狂风落尽深红色，绿叶成阴子满枝。)
新增拖拉机和拖拉机车库，更高效地种田、清除树枝和岩石等 (必须安装的前置依赖：SMAPI（前置依赖)
玫瑰铱工具和武器 (这个模组用玫瑰铱变体替换了所有铱工具。我)
自动破坏晶石汉化版 (允许您自动破坏晶石。兼容1.6+游戏版本)
38种圣诞礼物发型 (在游戏中添加了38款充满圣诞节风格的发型)
季节性路灯 (为路灯穿上了漂亮的外观注意事项:注意：此)
星露谷SVE模组中文 ()
爱蜜莉雅替佩妮 (该模组用《Re：从零开始的异世界生活》中)
嵌入式鱼缸汉化版 (添加了8种不同尺寸的嵌入式鱼缸和专用目录)
全自动生产流水线套件 (必须安装的前置依赖：安装和卸载方法：SM)
健康和耐力恢复 (使用之后角色的血条和耐力会随着时间回复，)
钓鱼信息添加汉化版 (可定制的覆盖层，当手持鱼竿（或螃蟹笼）时)
自动填充宠物碗 (在每天开始时，它会填满您宠物的碗，使其充)
人物行走图美化 (人物行走图美化mod，使角色在走路时候变)
浪漫的情书 (有了这个mod, npc会以情书的形式回)
五彩工具汉化版 (在铱制工具上级添加了额外的五彩制工具，五)
更多的煤矿汉化版 (在矿井中添加不同种类的煤矿石，以增加获取)
淳朴的小镇风格 (对npc的房子内饰进行了重新装修注意事项)
武器暴击率提高 (这个模组按比例提高了原版中所有武器的暴击)
星夜界面 (带有星星、月亮和夜晚主题的紫色用户界面。)
儿童对话 (为你和你的孩子们添加了额外的对话注意事项)
烹饪技能汉化版 (为游戏添加新的烹饪技能。通过烹饪获得烹饪)
游泳汉化版 (允许你在任何有水的地方游泳，在陆地上穿上)
祖祖城汉化 (祖祖城0.9.4版本适配翻译，不包括建筑)
新的鸡舍动物外观 (为鸡、鸭、兔子、恐龙添加了额外的外观皮肤)
添加渔网 (添加了一个渔网物体，可以像螃蟹陷阱一样使)
小偷 (厌倦了支付高价?还是你只是厌倦了玛妮盯着)
时间控制汉化版 (这个mod可以让你控制游戏中的时间流：加)
随身广告牌 (随时随地都可以查看皮埃尔商店门口的广告牌)
鸡舍扩建 (原来的鸡舍看起来太拥挤了，扩建以后的鸡舍)
星露谷物语小队 (通过这个模组，你现在可以邀请 NPC 们)
手工商品保持品质汉化版 (你的工匠制品将与投入物品的品质相同，大大)
小猫爪光标 (更改游戏中的光标以满足您的猫美学需求。非)
幽咪的可爱武器美化包 (一个非常可爱风的武器美化纹理，替换原版的)
角色传送到光标位置 (安装该模组后可以按V键，让游戏角色传送到)
随意召唤马匹汉化版 (按下一个按钮默认为H，或使用马笛，无论身)
稻草人抚摸机 (为稻草人添加了自动抚摸机同等的功能，这样)
玫瑰和紫藤SVE建筑 (该模组将星露谷SVE地图纹理重新设计为以)
青梅竹马的卡洛琳 (卡洛琳曾经是你最好的朋友，但后来她离开了)
堆积更多的东西汉化版 (允许你堆叠家具、渔具、衣物等物品的模组。)
宠物大修 (添加了可以从玛妮购买新、独特的宠物，目前)
海风农舍 (修改了农舍的装修，现在整体风格为海边沙滩)
鹈鹕镇建筑新装修 (镇长斥巨资对村子的建筑进行了大规模装修，)
新电梯出现 (像普通矿井中的电梯被添加到骷髅洞中一样，)
Yako的26个高清可爱配件 (本模组包含26个高清配件，以JA的形式添)
加钱模组 (按一下“P”添加1500金钱，再也不用担)
新增技能经验条汉化版 (该模组向玩家展示一些关于升级系统的信息，)
皮埃尔出售古代种子 (皮埃尔现在以可定制的价格出售古代种子。兼)
季节性中世纪主题棚屋 (添加了一个格温尼亚泽克风格的季节性主题中)
工具升级交付服务 (工具升级完成后将直接邮件形式送到家门口注)
斯托夫顿汉化版 (斯托夫顿是位于鹈鹕镇北部的一个繁荣的磨坊)
时尚户外家具套装汉化版 (这个模组为你增加了35+个户外物品（也可)
可建造的姜岛农场 (可建造的姜岛农场模组允许您在姜岛农场上建)
新增浴室家具汉化版 (该模组为游戏中的商品目录添加浴室家具、壁)
季节性美人鱼 (将海滩上卖美人鱼吊坠的水手替换为美人鱼，)
超巨型温室 (将温室大小改为超巨型的多个房间注意事项:)
更多的果树 (星露谷物语更好的果树MOD，该MOD能使)
可爱猫咪风格家具汉化版 (一套可爱的小猫家具，这个模组包括猫主题地)
伊露露替换塞巴斯蒂安 (《小林家的龙女仆》中的伊露露替换巴斯蒂安)
蕾姆替换艾米丽 (该模组用《Re：从零开始的异世界生活》中)
自定义锁汉化版 (该模组允许您进入建筑物和房间，而不受时间)
超大空间冰箱汉化版 (允许你从罗宾那里购买一个大冰箱，在你的第)
终极农场汉化版 (爷爷现在给你留下了一个非常大、可爱的乡村)
可购买粘土 (使用之后就能在罗宾的商店里可以买到粘土。)
全能工具 (这个模组让你创建组合的“全能工具”，节省)
娘化小黑 (用小黑(娘化)替换小黑人像。注意！！ 此)
作物浇水气泡汉化版 (使未浇水的作物通过间隔或按键时的动画表现)
可随意种植果树 (果树的生长永远不会受到任何阻碍。只要它种)
海莉事件扩展（全版本兼容） (这个mod旨在完善海莉的角色形象，还有1)
更大的桶罐和熔炉 (使用更大的桶罐和熔炉mod，就能得到更大)
自动动物门 (无论您身处星露谷中的何处，您所有的谷仓和)
建造更多的温室 (现在您可以拥有更多的温室了，只要您解锁温)
更多书籍 (新增16本书木匠目录效果：您现在可以从 )
建造模式汉化版 (装修农场的时候一个个铺地板或者批量生产小)
可爱抹茶主题服装 (可爱粉绿色的抹茶主题时尚服装！模组包含6)
水面反射汉化版 (为游戏内的水源添加了反射效果，这是一个能)
结婚的好处 (和不同的npc结婚会给你带来不同的增益，)
福斯托里亚汉化版 (福斯托里亚曾经是鹈鹕镇附近的一个繁华的采)
新NPCMr.棱镜史莱姆 (在山谷中添加一个喜爱吃宝石，从小和你一起)
生成怪物 (使用之后就能随时随地生成怪物，这样就能快)
鹈鹕镇NPC对话优化汉化版 (对鹈鹕镇全体NPC原版对话进行修改、润色)
海滩洒水器汉化版 (海滩洒水器mod移除了在海滩农场方块上无)
没有友谊衰败 (使用之后就能防止友谊衰败，在不使用其他额)
巨型农场sve (兼容sve的巨型农场模组拥有：专用的农场)
超级地窖 (为你的家准备一个超级地窖，它能装下219)
实木风格家具装饰 (对一些配套家具、壁纸和地板进行木调色适配)
更广阔的农场 (这是一个定制的农场地图。它是默认的农场，)
更肥的动物 (动物比原来更胖更可爱注意事项:注意：此M)
市场小镇 - 食品商店 _ 花店 _ 渔业及更多 (这个模组允许你开设自己的餐厅、花店、渔业)
显示经验收益 (当玩家执行任何可以获得经验的动作时，将收)
季节性变化帽子 (在法师塔东南部的帽子商店处添加了额外的季)
全能邮箱汉化版 (可以直接用邮箱进行升级工具、回收遗失物品)
海莉有趣对话 (为海莉新增一些有趣对话，现在会有更多新奇)
地图传送 (地图传送允许你使用地图传送到任何有提示的)
碧姬替换海莉 (此mod用碧姬替换海莉注意！！ 此mod)
堆叠一切 (这个模组允许你堆叠不可堆叠的物品，个性化)
绿洲温室 (对温室进行了全方面拓宽，拓宽了原来的温室)
更好的牧场管理 (使用后可以显示小动物和宠物的状态，防止失)
可爱日常套装裙 (使用之后就能获取6套可爱日常套装裙，包含)
博德村 ( 鹈鹕镇北边最近新建了一座村庄，而新搬来)
幽咪的新年服装 (祝大家新年快乐！新衣新气象！在游戏中添加)
实时小地图 (安装该模组之后，会根据游戏中的位置添加实)
超级大温室 (一个巨大的支持翘曲的替代温室，适合那些永)
可选动物 (动物颜色可以在玛妮的商店里自选，包括金鸡)
美利坚农场主 (添加了一个超大的农场到游戏中，替换了标准)
家具动画效果 (为家具和装饰添加了一些动态效果，动画化许)
猫猫出货箱 (看！一只可爱的小猫放在纸板箱里，拿走你的)
乡村女孩动漫肖像 (本图包为VG's OhoDavi风格的替)
卡哇伊帽 (将游戏内的原来帽子替换成可爱的帽子注意事)
配偶房间重新设计 (对配偶的小房间进行了重新设计这是原版这是)
幼儿扩展 (为孩子们设计了不同的外观，根据您的偏好更)
连续增加好感 (此mod将记录你连续交流和送礼次数，如果)
中世纪建筑 (使用之后就能添加全套农场建筑外观。季节性)
罗宾电池组 (该模组下，可以从罗宾/卡彭特那里购买电池)
多角恋，甜蜜的法国婚姻 (这个mod允许多个配偶或室友，允许多个配)
轻松钓鱼 (拉动鱼竿时鱼不会逃跑。（适用于星露谷物语)
鸭子游泳 (让鸭子在被喂食和抚摸后真的想在水中游泳；)
种植巨型作物 (只需按一下按钮即可立即种植巨型作物，兼容)
矿石探测器 (显示关于可挖掘的矿石如梯子和洞穴在你当前)
铱星工具外观 (调整了铱星工具的外观（垃圾桶除外），包括)
鞋子加速 (穿了鞋子时会获得增加移动速度的buff效)
祝尼魔们接受现金 (现在，社区中心的解锁可以使用金币购买了。)
作物度过季节变化 (让我们让农作物在季节变化时（默认情况下不)
小飞马 (将马的外观按替换成粉嫩小飞马的外观注意事)
季节性建筑 (这个模组会给你的房子一个可爱的新外观，而)
女人谷 (此模组可以让你越来越熟悉星露谷中的女性，)
仙女风格季节性建筑 (华丽而小屋的农场建筑。注意事项:注意：此)
深林 (在秘密森林添加了一个密林的入口，森林内容)
随处召唤马 (这个模组可以使你在任何地方（即使是在最深)
更好的星之果实汉化版 (现在星之果实不止增加血量，耐力上限，还会)
迷你传送柱纹理美化 (使用之后就能将游戏中的传送柱进行迷你花并)
季节性围栏 (调整了围栏的外观，并且会随着季节变化而变)
帽子不影响发型 (原版的帽子戴上以后会影响你的发型，这个模)
更多木匠材料 (以 1.6 的价格为罗宾的商店添加额外的)
可爱帽子饰品 (这个模组有 25 顶可爱的帽子！非常的卡)
魔法少女风格 (将游戏内的菜单和背景换成了魔法少女主题的)
轻松钓鱼 v2.0 (这个模组减少了鱼在钓鱼时的运动量。百分比)
奶油色“复古”界面 (修改了游戏内ui的颜色外观注意事项:注意)
别忘了生日 (向玩家发送邮件以提醒村民的生日)
肖像(高清版) (添加了几个高清的头像注意事项:注意：此M)
社交技能汉化版 (与镇民交朋友，提高社交技能，增加与市民交)
鸽子信箱外观 (将信箱的外观变成鸽子，这个模组包含4个季)
画风重制 (对游戏场景、世界地图、建筑的风格进行了重)
冬季农作物 (添加了6种冬季农作物到游戏中，皮埃尔的商)
更强大的宝石复制机 (此mod强化了宝石复制机，现在你能复制更)
粉嫩魔法武器道具 (改变武器和道具的风格注意！！ 此mod与)
探险家公会拓展 (- 一条新任务线，探索矿洞怪物的历史- )
风的影响 (风吹过星露谷，青草、树木、灌木丛、作物会)
更好的附魔 (此mod允许装备获得更多附魔注意！！ 此)
便宜的(大)箱子 (减少制作(大)箱子所需的物品数量，你还在)
时崎狂三替换艾米丽 (该模组用《约会大作战》中的时崎狂三替换艾)
从此以后的海莉 (mod增加了4000多个海莉的婚后对话，)
定制配偶房间位置 (在您全面升级的农舍内移动您的配偶房间！需)
更真实的食物 (大量修改了游戏中的食物图像，使其看着更加)
更改npc头像 (这个模组会更改游戏中所有角色的头像，为玩)
AutoFish（自动钓鱼） (不会直接跳过钓鱼，不用操作浮标会自动跟随)
野生动物 (根据不同的季节和时间，在星露谷多个地方添)
古董中式家具 (新增古董中式家具注意！！ 此mod与其他)
动物的发型 (设计了橙色小老鼠，灰紫狼少女，红色小龙，)
工具智能开关 (如果当前工具栏中存在适当的工具，则在以下)
自动近战攻击 (自动攻击你周围的怪物。注意！！ 此mod)
交个朋友 (现在，只要你站在村民的身边，就能逐渐获得)
XP显示 (显示每个技能达到下一个级别的进度。注意事)
批量动物采购 (允许你在不离开放置屏幕的情况下购买和放置)
温室升级 (允许温室升级，以获得更多的生长空间和自动)
优雅的工艺品 (赋予农场机器和装饰全新的外观，和原来截然)
超美丽立绘 (为星露谷的女角色们准备了超美丽立绘除了前)
更可爱的索菲亚 (这个模组改变了所有索菲亚的模型和肖像，成)
魔法谷 (为您的游戏带来全新的ui界面，通过魔法来)
对话显示友谊值影响 (显示事件对话选项将如何影响友谊。高度可定)
豪华放松温室 (用这个豪华放松温室代替原版温室。池塘和喷)
可口的食物外观 (对食物和作物的外观进行了重制，看上去比原)
季节性巴士 (美化了巴士的外观，四个季节四种外观注意事)
藤制家具 (这个mod增加了74件复古藤条主题的新家)
妊娠和分娩事件 (游戏并没有很好地处理怀孕和分娩的事情。这)
软发型 (该模组添加了28种时尚感发型，有些颜色名)
更好的陨石 (优化了陨石的掉落物，现在挖掉陨石会掉落大)
月亮伊布 (将其中一只猫咪（那只橘猫）的外观替换成宝)
集成矿车 (此模组扩展了矿车的功能，在地图上增加了多)
方便的库存管理 (该模组为玩家的物品栏添加了方便的功能，例)
谷仓动物新皮肤 (为您的谷仓动物添加一堆皮肤！- 使用新的)
冒险家公会额外商店 (在冒险家公会后面添加一个额外的商店。可以)
病娇阿比盖尔 (描述：她甜美迷人的个性让位于一种吞噬的激)
技能经验倍率 (这个模组允许你设置一个乘数，以改变每个5)
自助服务 (在商店开门的时候买东西，不管柜台上有没有)
钓鱼箱扩大 (极大地扩展了在捕鱼宝箱中可获取的物品的范)
梦幻薰衣草 (这个模组为星露谷中的所有UI提供了一层全)
东斯卡普的爬虫学家 (为东斯卡普添加了一个新的自定义NPC诺拉)
宫崎骏主题稻草人 (将几种特殊稻草人的外观替换为宫崎骏动漫作)
野花草地 (优化了青草的外观，每个季节的变化都非常丰)
洛离的头发5 (20种发型)
变种人戒指 (新增几种变种人主题戒指包含黑凤凰戒，侠盗)
柯基替换马 (该模组用可爱的柯基替换你在游戏里的马。好)
女巫师 (改变威亚扎德的肖像统一变成女性精灵。)
优雅小镇室内设计 (为小镇的室内装修设计了优雅的风格注意事项)
坐下休息 (这个模组让你能够在坐着的时候回复体力，原)
日式建筑 (将农场里的建筑外观替换为带有日式风格的建)
洛离的上衣与裙子44 (12套服装)
皮埃尔卖出更多种子 (将混合种子和草莓种子添加到皮埃尔的商店中)
更多对话主题（全版本兼容） (这个mod是一个对话mod的辅助mod。)
社区中心优化 (原版的社区中心重建完后，感觉人们用到它的)
大型鸡舍和谷仓 (该模组为鸡舍和畜棚增加了第四种升级选项这)
价格折扣 (根据与店主的关系提供价格折扣。注意事项:)
爱之节 (新增一个节日，爱之节,每年冬天第六天举办)
配偶肖像重做 (将配偶肖像重做，使肖像画更加有意义一点注)
资源存储 (添加资源存储，允许无限存储可自动用于制作)
更多新宠物 (向游戏中添加多个新宠物海狸水豚花栗鼠乌鸦)
诗子 (添加了一个新的npc到游戏中注意事项:注)
温室扩建 (扩建了温室空间，增加了可耕种土地，还加了)
拖网渔船 - 新视野号 (该模组添加了一款快节奏且灵感丰富的小游戏)
Joja超市出售电池组 (一个非常简单实用的模组，以3000的价格)
害羞的哈维对话 (此mod添加20+ 春季、夏季、秋季和冬)
怀旧风格家具 (只是一些舒适和古老的家具注意事项:注意：)
树桩到硬木树桩 (树木砍伐后留下的树桩经过一段时间后变成硬)
皮赫尔的大温室 (只是在温室里添加了更多的贴图，为更多的果)
恋爱小镇 (让星露谷的NPC之间建立浪漫关系。新﻿爱)
农舍浴室 (为农舍增添了一间功能齐全的浴室。注意事项)
科罗布斯卖硬木 (此mod只是让科罗布斯每周卖一次硬木，这)
社区中心收集物提示 (当把鼠标悬停在某件物品上时，若该物品未交)
谢恩对话扩展 (Shane对话的一大扩展，包括每个季节从)
valley talk (ValleyTalk 利用现代 AI 的)
松露自动拾取 (这个mod使谷仓内的自动抓取器能够收获谷)
集镇MOD (让您自己开设餐厅、花店、渔场等。烹饪并出)
经典女仆装 (经典女仆装，包括定制头发和可选肤色。具体)
我得到了友谊 (每当你得到友谊时，这个模组都会显示一些信)
更有魅力的齐先生 (该模组改变了齐先生的肖像，使其更有魅力。)
炸弹生成器 (此mod新增机器，能够生成炸弹樱桃炸弹生)
童话风格的工艺品 (柔软可爱的工艺品外观纹理替换，喜欢这种风)
新npc艾薇 (此mod添加了一个新的npc ivy注意)
可定制的手机 (给你一个可定制的手机，让你打电话和接听朋)
可爱的绵羊 (将绵羊的外观替换为更可爱的模样注意事项:)
卡通血条 (为怪物们设计了风格各异的血条注意事项:注)
更大的温室 (扩大了温室土地，现在可耕种土地为15x1)
老水手替换为美人鱼 (该模组将老水手替换为了美人鱼仅当您将语言)
批量购买 (这是一个专门为控制器用户设计的简单实用模)
聪明的木匠 (在建造建筑时，罗宾和其他木匠会在你指定颜)
树木移植 (允许您在游戏中移植树木。注意！！ 此mo)
阳莓村 (阳莓村在鹈鹕镇南部增加了一个新的城镇，有)
更好的窗户 (新增更好的窗户，会根据天气和季节更替显示)
最大耐力和生命恢复百分比 (一个添加了非常简单的基于百分比的恢复的模)
方便库存 (为玩家的库存增加了便利功能，例如快速堆叠)
穿墙模式 (只需按一下按钮（f11)即可启用穿墙，让)
罗莎塔替换阿比盖尔 (此mod用罗莎塔替换阿比盖尔注意！！ 此)
可爱小恶魔稻草人 (将稻草人重新着色为可爱的女性小恶魔。雇一)
海风农场地图 (带海景的岛屿农场地图，游泳池和许多瀑布。)
拉薇儿 (在东斯卡普添加一个名叫拉薇儿的新NPC。)
世界导航器 (世界导航器是一个多用途、交互式、可扩展的)
火焰马 (将马的外观替换成帅气的铱色火焰马注意事项)
写实风的农作物 (调整了作物和觅食物品的图标和外观，画风比)
温室地下室 (在温室中添加一个“地下室”，以扩展您的游)
矿物作物 (新增几种产出矿物的作物注意！！ 此mod)
简易礼物 (将礼物放入打开的箱子中，然后按“Shif)
三套装衣服 (为其设计了三套美丽的衣服注意！！ 此mo)
坦加森林建筑 (修改了农场建筑的画风注意事项:注意：此M)
沉浸式洒水器 (洒水器不再独占一格且喷洒范围加大注意事项)
可爱q版npc动漫头像 (超级可爱的动漫头像，赶紧一起用起来吧)
艾登的季节性服装 (艾登的头像现在有季节性变化。此模组需要东)
